video,last_seen,watched
Unmanned Aerial Vehicles,213,1014
Quadrotors,71,791
Key Components of Autonomous Flight,41,734
State Estimation,68,718
Applications,80,665
Meet the TAs,116,599
Basic Mechanics,55,567
Dynamics and 1-D Linear Control,69,553
Design Considerations,32,447
Design Considerations (continued),18,424
Agility and Maneuverability,23,407
Component Selection,13,391
Effects of Size,48,380
Supplementary Material: Introduction,24,418
Supplementary Material: Dynamical Systems,18,427
Supplementary Material: Rates of Convergence,25,386
Transformations,120,484
Rotations,16,319
Euler Angles,25,318
Axis/Angle Representations for Rotations,34,309
Angular Velocity,16,277
Supplementary Material: Rigid-Body Displacements,23,296
Supplementary Material: Properties of Functions,8,234
Supplementary Material: Symbolic Calculations in Matlab,3,241
Supplementary Material: The atan2 Function,5,230
Supplementary Material: Eigenvalues and Eigenvectors of Matrices,5,231
Supplementary Material: Quaternions,9,221
Supplementary Material: Matrix Derivative,8,213
Supplementary Material: Skew-Symmetric Matrices and the Hat Operator,8,218
Formulation,9,256
Newton-Euler Equations,8,241
Principal Axes and Principal Moments of Inertia,16,236
Quadrotor Equations of Motion,19,243
Supplementary Material: State-Space Form,14,219
Supplementary Material: Getting Started With the First Programming Assignment,19,209
2-D Quadrotor Control,47,276
3-D Quadrotor Control,30,219
"Time\u002C Motion, and Trajectories",20,202
"Time\u002C Motion, and Trajectories (continued)",13,177
Motion Planning for Quadrotors,13,187
Supplementary Material: Minimum Velocity Trajectories from the Euler-Lagrange Equations,4,164
Supplementary Material: Solving for Coefficients of Minimum Jerk Trajectories,6,149
Supplementary Material: Minimum Velocity Trajectories,1,146
Supplementary Material: Linearization of Quadrotor Equations of Motion,8,158
Sensing and Estimation,36,239
Nonlinear Control,26,206
Control of Multiple Robots,34,187
Adjourn,68,152
Supplementary Material: Introduction to the Motion Capture System by Matthew Turpin,60,157
