video,last_seen,watched
Unmanned Aerial Vehicles,0.09035916824196598,0.061472437137330756
Quadrotors,0.02835538752362949,0.047811895551257255
Key Components of Autonomous Flight,0.017391304347826087,0.04442698259187621
State Estimation,0.027977315689981096,0.04339941972920696
Applications,0.03516068052930057,0.0401958413926499
Meet the TAs,0.04914933837429111,0.03620647969052224
Basic Mechanics,0.024196597353497166,0.034272243713733073
Dynamics and 1-D Linear Control,0.02948960302457467,0.033426015473887814
Design Considerations,0.013988657844990548,0.027018858800773694
Design Considerations (continued),0.008695652173913044,0.02562862669245648
Agility and Maneuverability,0.011720226843100189,0.024601063829787235
Component Selection,0.007183364839319471,0.02363394584139265
Effects of Size,0.06275992438563327,0.022969052224371372
Supplementary Material: Introduction,0.025330812854442344,0.02526595744680851
Supplementary Material: Dynamical Systems,0.013232514177693762,0.025809961315280464
Supplementary Material: Rates of Convergence,0.06200378071833648,0.023331721470019343
Transformations,0.06351606805293006,0.02925531914893617
Rotations,0.006427221172022685,0.01928191489361702
Euler Angles,0.010964083175803403,0.01922147001934236
Axis/Angle Representations for Rotations,0.014744801512287334,0.018677466150870407
Angular Velocity,0.009073724007561436,0.016743230174081237
Supplementary Material: Rigid-Body Displacements,0.01285444234404537,0.017891682785299807
Supplementary Material: Properties of Functions,0.004158790170132325,0.014144100580270793
Supplementary Material: Symbolic Calculations in Matlab,0.0026465028355387526,0.014567214700193424
Supplementary Material: The atan2 Function,0.001890359168241966,0.013902321083172147
Supplementary Material: Eigenvalues and Eigenvectors of Matrices,0.003402646502835539,0.013962765957446808
Supplementary Material: Quaternions,0.004914933837429111,0.013358317214700193
Supplementary Material: Matrix Derivative,0.004536862003780718,0.0128747582205029
Supplementary Material: Skew-Symmetric Matrices and the Hat Operator,0.005671077504725898,0.013176982591876208
Formulation,0.004536862003780718,0.015473887814313346
Newton-Euler Equations,0.003402646502835539,0.014567214700193424
Principal Axes and Principal Moments of Inertia,0.007561436672967864,0.014264990328820115
Quadrotor Equations of Motion,0.013988657844990548,0.014688104448742747
Supplementary Material: State-Space Form,0.01890359168241966,0.013237427466150871
Supplementary Material: Getting Started With the First Programming Assignment,0.05179584120982987,0.012632978723404254
2-D Quadrotor Control,0.03175803402646503,0.016682785299806577
3-D Quadrotor Control,0.015122873345935728,0.013297872340425532
"Time, Motion, and Trajectories",0.009829867674858222,0.012209864603481625
"Time, Motion, and Trajectories (continued)",0.006427221172022685,0.010698742746615086
Motion Planning for Quadrotors,0.01776937618147448,0.011303191489361703
Supplementary Material: Minimum Velocity Trajectories from the Euler-Lagrange Equations,0.005671077504725898,0.009912959381044487
Supplementary Material: Solving for Coefficients of Minimum Jerk Trajectories,0.0060491493383742915,0.009006286266924565
Supplementary Material: Minimum Velocity Trajectories,0.0026465028355387526,0.00882495164410058
Supplementary Material: Linearization of Quadrotor Equations of Motion,0.03780718336483932,0.00961073500967118
Sensing and Estimation,0.021928166351606805,0.014506769825918761
Nonlinear Control,0.015122873345935728,0.012451644100580271
Control of Multiple Robots,0.01776937618147448,0.011363636363636364
Adjourn,0.02948960302457467,0.00918762088974855
Supplementary Material: Introduction to the Motion Capture System by Matthew Turpin,0.03062381852551985,0.009550290135396518
