video,last_seen,watched
Transformations,0.06351606805293006,0.7469135802469136
Rotations,0.006427221172022685,0.49228395061728397
Euler Angles,0.010964083175803403,0.49074074074074076
Axis/Angle Representations for Rotations,0.014744801512287334,0.47685185185185186
Angular Velocity,0.009073724007561436,0.42746913580246915
Supplementary Material: Rigid-Body Displacements,0.01285444234404537,0.4567901234567901
Supplementary Material: Properties of Functions,0.004158790170132325,0.3611111111111111
Supplementary Material: Symbolic Calculations in Matlab,0.0026465028355387526,0.37191358024691357
Supplementary Material: The atan2 Function,0.001890359168241966,0.3549382716049383
Supplementary Material: Eigenvalues and Eigenvectors of Matrices,0.003402646502835539,0.35648148148148145
Supplementary Material: Quaternions,0.004914933837429111,0.3410493827160494
Supplementary Material: Matrix Derivative,0.004536862003780718,0.3287037037037037
Supplementary Material: Skew-Symmetric Matrices and the Hat Operator,0.005671077504725898,0.33641975308641975
Formulation,0.004536862003780718,0.3950617283950617
Newton-Euler Equations,0.003402646502835539,0.37191358024691357
Principal Axes and Principal Moments of Inertia,0.007561436672967864,0.36419753086419754
Quadrotor Equations of Motion,0.013988657844990548,0.375
Supplementary Material: State-Space Form,0.01890359168241966,0.33796296296296297
Supplementary Material: Getting Started With the First Programming Assignment,0.05179584120982987,0.32253086419753085
